"Lig.pop","Ligand","Lig.exp.perc","Receptor","Rec.pop","Rec.exp.perc","score","significance","interaction","study","tissue"
"Adipo","Adipoq",0.460750853242321,"Adipor2","Adipo",0.948805460750853,9.0136690647482,0.993851102071706,"Adipo Adipoq Adipor2 Adipo","Exercise2","Aorta"
"Endoth","Tgfa",0.167048054919908,"Erbb4","Adipo",0.761092150170648,5.23353195323218,0.978904550184467,"Endoth Tgfa Erbb4 Adipo","Exercise2","Aorta"
"Neu","Dcn",0.274111675126904,"Erbb4","Adipo",0.761092150170648,7.65487460554725,0.991296944470722,"Neu Dcn Erbb4 Adipo","Exercise2","Aorta"
"Smomus","Btc",0.0894736842105263,"Erbb4","Adipo",0.761092150170648,4.86309680823002,0.975782802005487,"Smomus Btc Erbb4 Adipo","Exercise2","Aorta"
"Pla","Nrg2",0.583333333333333,"Erbb4","Adipo",0.761092150170648,10.1998718770019,0.996026865954025,"Pla Nrg2 Erbb4 Adipo","Exercise2","Aorta"
"Neur","Dcn",0.155807365439093,"Erbb4","Adipo",0.761092150170648,6.49082755809213,0.987134613565415,"Neur Dcn Erbb4 Adipo","Exercise2","Aorta"
"Neu","Tgfa",0.065989847715736,"Erbb4","Adipo",0.761092150170648,4.62504311831666,0.972755652256173,"Neu Tgfa Erbb4 Adipo","Exercise2","Aorta"
"Neur","Tgfa",0.0793201133144476,"Erbb4","Adipo",0.761092150170648,4.96572709801409,0.976634187872481,"Neur Tgfa Erbb4 Adipo","Exercise2","Aorta"
"Fib","Dcn",0.857421875,"Erbb4","Adipo",0.761092150170648,19.1187983288558,0.998959417273673,"Fib Dcn Erbb4 Adipo","Exercise2","Aorta"
"Adipo","Btc",0.0580204778156997,"Erbb4","Adipo",0.761092150170648,4.64204695331047,0.972944849115505,"Adipo Btc Erbb4 Adipo","Exercise2","Aorta"
"Mcr","Nrg2",0.4,"Erbb4","Adipo",0.761092150170648,9.67093115273015,0.995080881657365,"Mcr Nrg2 Erbb4 Adipo","Exercise2","Aorta"
"Fib","Nrg2",0.080078125,"Erbb4","Adipo",0.761092150170648,6.37000984359619,0.986377826128086,"Fib Nrg2 Erbb4 Adipo","Exercise2","Aorta"
"Adipo","Nrg4",0.754266211604096,"Erbb4","Adipo",0.761092150170648,13.0759491102409,0.997918834547347,"Adipo Nrg4 Erbb4 Adipo","Exercise2","Aorta"
"Pla","Nrg4",0.166666666666667,"Erbb4","Adipo",0.761092150170648,5.63677130044843,0.981931699933781,"Pla Nrg4 Erbb4 Adipo","Exercise2","Aorta"
"Tcell","Nrg2",0.116279069767442,"Erbb4","Adipo",0.761092150170648,6.01255605381166,0.984296660675433,"Tcell Nrg2 Erbb4 Adipo","Exercise2","Aorta"
"Pery","Dcn",0.195121951219512,"Erbb4","Adipo",0.761092150170648,4.97914798206278,0.976823384731813,"Pery Dcn Erbb4 Adipo","Exercise2","Aorta"
"Fib","Ntn1",0.548828125,"Neo1","Adipo",0.25938566552901,2.43430417681214,0.915712799167534,"Fib Ntn1 Neo1 Adipo","Exercise2","Aorta"
"Endoth","Ntn1",0.406559877955759,"Neo1","Adipo",0.25938566552901,3.00622099338402,0.945889698231009,"Endoth Ntn1 Neo1 Adipo","Exercise2","Aorta"
"Dcii","Ntn1",0.166666666666667,"Neo1","Adipo",0.25938566552901,2.54605263157895,0.92422665783748,"Dcii Ntn1 Neo1 Adipo","Exercise2","Aorta"
"Dcii","Gnas",0.333333333333333,"Tshr","Adipo",0.774744027303754,11.4008810572687,0.997067448680352,"Dcii Gnas Tshr Adipo","Exercise2","Aorta"
"Adipo","Gnas",0.433447098976109,"Tshr","Adipo",0.774744027303754,9.56058135904818,0.994891684798032,"Adipo Gnas Tshr Adipo","Exercise2","Aorta"
"Mcr","Calr",0.1,"Tshr","Adipo",0.774744027303754,7.04172065301892,0.989215779018068,"Mcr Calr Tshr Adipo","Exercise2","Aorta"
"Fib","Fn1",0.1337890625,"Tshr","Adipo",0.774744027303754,11.1512267275475,0.996972850250686,"Fib Fn1 Tshr Adipo","Exercise2","Aorta"
"Endoth","Gnas",0.395118230358505,"Tshr","Adipo",0.774744027303754,9.82720732059939,0.995364676946363,"Endoth Gnas Tshr Adipo","Exercise2","Aorta"
"Mcr","Fn1",0.0941176470588235,"Tshr","Adipo",0.774744027303754,27.4333700440529,0.999621606281336,"Mcr Fn1 Tshr Adipo","Exercise2","Aorta"
"Fib","Gnas",0.3681640625,"Tshr","Adipo",0.774744027303754,8.45237733556129,0.992810519345379,"Fib Gnas Tshr Adipo","Exercise2","Aorta"
"Tcell","Calr",0.0697674418604651,"Tshr","Adipo",0.774744027303754,7.60058737151248,0.991202346041056,"Tcell Calr Tshr Adipo","Exercise2","Aorta"
"Smomus","Fn1",0.676691729323308,"Tshr","Adipo",0.774744027303754,22.0037004405286,0.999337810992338,"Smomus Fn1 Tshr Adipo","Exercise2","Aorta"
"Neur","Gnas",0.342776203966006,"Tshr","Adipo",0.774744027303754,8.2915498598318,0.992432125626715,"Neur Gnas Tshr Adipo","Exercise2","Aorta"
"Adipo","Calr",0.129692832764505,"Tshr","Adipo",0.774744027303754,6.30048690006956,0.98581023555009,"Adipo Calr Tshr Adipo","Exercise2","Aorta"
"Fib","Calr",0.1083984375,"Tshr","Adipo",0.774744027303754,6.57348096995674,0.987702204143411,"Fib Calr Tshr Adipo","Exercise2","Aorta"
"Endoth","Calr",0.087719298245614,"Tshr","Adipo",0.774744027303754,7.23708101896189,0.989594172736733,"Endoth Calr Tshr Adipo","Exercise2","Aorta"
"Dcii","Fn1",0.0833333333333333,"Tshr","Adipo",0.774744027303754,25.6519823788546,0.999432409422004,"Dcii Fn1 Tshr Adipo","Exercise2","Aorta"
"Pla","Gnas",0.416666666666667,"Tshr","Adipo",0.774744027303754,12.5409691629956,0.997729637688014,"Pla Gnas Tshr Adipo","Exercise2","Aorta"
"Mcr","Gnas",0.205882352941176,"Tshr","Adipo",0.774744027303754,8.14348646947766,0.992148330337716,"Mcr Gnas Tshr Adipo","Exercise2","Aorta"
"Neur","Calr",0.0594900849858357,"Tshr","Adipo",0.774744027303754,7.32913782252989,0.989877968025731,"Neur Calr Tshr Adipo","Exercise2","Aorta"
"Pla","Calr",0.0833333333333333,"Tshr","Adipo",0.774744027303754,5.70044052863436,0.982499290511778,"Pla Calr Tshr Adipo","Exercise2","Aorta"
