from,to,Effect,weight,color,origin,direction,study,tissue,cell
Cblb,Erbb4,1,0.993109815,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Plcb1,Mapk14,1,0.992902455,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Mapk14,Rora,1,0.98283146,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Mapk14,Nr3c1,1,0.98283146,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Gsk3b,Clock,1,0.988614566,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Gsk3b,Nr3c1,1,0.988614566,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Mtor,Rora,1,0.996328441,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Insr,Cblb,1,0.982591905,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Insr,Plcb1,1,0.982591905,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Insr,Cbl,1,0.982591905,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Insr,Pik3r1,1,0.982591905,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Insr,Pik3cb,1,0.982591905,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Cbl,Erbb4,1,0.984087916,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Erbb4,Esr1,1,0.985259728,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Pik3r1,Gsk3b,-1,0.955167132,red,Insr,vis_net_I,Exercise2,Aorta,Adipo
Pik3r1,Mtor,1,0.955167132,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Pik3cb,Gsk3b,-1,0.989383676,red,Insr,vis_net_I,Exercise2,Aorta,Adipo
NICHE,Insr,1,0.972233222,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Esr1,Zbtb20,-1,0.998250202,red,Insr,vis_net_I,Exercise2,Aorta,Adipo
Nr3c1,Jazf1,1,0.995627982,green,Insr,vis_net_I,Exercise2,Aorta,Adipo
Rora,Nr1d2,-1,0.995248388,red,Insr,vis_net_I,Exercise2,Aorta,Adipo
Clock,Nr1d2,-1,0.999098244,red,Insr,vis_net_I,Exercise2,Aorta,Adipo
Nfkb1,Lyn,1,0.979796027,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Lyn,Stat5b,1,0.989845844,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Mef2a,1,0.883613113,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Nfkb1,1,0.883613113,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Mitf,1,0.883613113,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Nr3c1,1,0.883613113,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
App,Mapk14,1,0.960401301,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
NICHE,App,1,0.948032577,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mef2a,Hivep2,1,0.986730064,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mitf,Bnc2,1,0.982657264,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Mitf,Zhx3,1,0.982657264,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Stat5b,Zfp395,1,0.999185029,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Nr3c1,Bnc2,1,0.979231695,green,Mapk14,vis_net_A,Exercise2,Aorta,Mcr
Nfkb1,Lyn,1,0.979796027,green,App,vis_net_A,Exercise2,Aorta,Mcr
Lyn,Stat5b,1,0.989845844,green,App,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Mef2a,1,0.883613113,green,App,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Mitf,1,0.883613113,green,App,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Nr3c1,1,0.883613113,green,App,vis_net_A,Exercise2,Aorta,Mcr
App,Nfkb1,1,0.960401301,green,App,vis_net_A,Exercise2,Aorta,Mcr
App,Mapk14,1,0.960401301,green,App,vis_net_A,Exercise2,Aorta,Mcr
NICHE,App,1,0.948032577,green,App,vis_net_A,Exercise2,Aorta,Mcr
Mef2a,Hivep2,1,0.986730064,green,App,vis_net_A,Exercise2,Aorta,Mcr
Mitf,Bnc2,1,0.982657264,green,App,vis_net_A,Exercise2,Aorta,Mcr
Mitf,Zhx3,1,0.982657264,green,App,vis_net_A,Exercise2,Aorta,Mcr
Stat5b,Zfp395,1,0.999185029,green,App,vis_net_A,Exercise2,Aorta,Mcr
Nr3c1,Bnc2,1,0.979231695,green,App,vis_net_A,Exercise2,Aorta,Mcr
Nfkb1,Lyn,1,0.979796027,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Lyn,Stat5b,1,0.989845844,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Mef2a,1,0.883613113,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Nfkb1,1,0.883613113,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Mitf,1,0.883613113,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mapk14,Nr3c1,1,0.883613113,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Gng2,Mapk14,1,0.962225703,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Lrp6,Gng2,1,0.983694023,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
NICHE,Lrp6,1,0.948032577,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mef2a,Hivep2,1,0.986730064,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mitf,Bnc2,1,0.982657264,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Mitf,Zhx3,1,0.982657264,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Stat5b,Zfp395,1,0.999185029,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Nr3c1,Bnc2,1,0.979231695,green,Lrp6,vis_net_A,Exercise2,Aorta,Mcr
Runx1,Ptprc,1,0.99620756,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Ptprc,Jak1,1,0.989386949,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Grb2,Prkcq,1,0.948928081,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Grb2,Prkch,1,0.948928081,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Ptk2b,Gsk3b,1,0.92828001,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Prkcq,Ptk2b,1,0.913328344,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Prkch,Ptk2b,1,0.987322056,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Gsk3b,Ccnd3,-1,0.9917736,red,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Kmt2a,Runx1,1,0.992594413,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Ncoa2,Kmt2a,1,0.98773359,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Ccnd3,Ncoa2,-1,0.989951617,red,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Jak1,Ets1,1,0.986163766,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
NICHE,Grb2,1,0.931549736,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Ets1,Tshz3,1,0.998009476,green,Grb2,vis_net_A,Exercise2,Aorta,Tcell
Runx1,Ptprc,1,0.99620756,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Ptprc,Jak1,1,0.989386949,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Ptk2b,Gsk3b,1,0.92828001,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Gsk3b,Ccnd3,-1,0.9917736,red,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Kmt2a,Runx1,1,0.992594413,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Ncoa2,Kmt2a,1,0.98773359,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Ccnd3,Ncoa2,-1,0.989951617,red,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Jak1,Ets1,1,0.986163766,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
NICHE,Ptk2b,1,0.931549736,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Ets1,Tshz3,1,0.998009476,green,Ptk2b,vis_net_A,Exercise2,Aorta,Tcell
Jun,Ctnnb1,1,0.999466766,green,Cdh5,vis_net_A,Exercise2,Artery,Adipo
Mapk3,Jun,1,0.997804467,green,Cdh5,vis_net_A,Exercise2,Artery,Adipo
