"","id","degree","group","label","origin","direction","shape","study","tissue","cell"
"Esr1","Esr1",2,"no data","Esr1","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Clock","Clock",1,"no data","Clock","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Rora","Rora",2,"no data","Rora","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Nr3c1","Nr3c1",5,"no data","Nr3c1","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Cblb","Cblb",2,"no data","Cblb","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Plcb1","Plcb1",5,"no data","Plcb1","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Mapk14","Mapk14",7,"no data","Mapk14","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Gsk3b","Gsk3b",4,"no data","Gsk3b","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Mtor","Mtor",1,"no data","Mtor","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Insr","Insr",9,"int","Insr","Insr","vis_net_I","square","Exercise2","Aorta","Adipo"
"Cbl","Cbl",4,"no data","Cbl","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Erbb4","Erbb4",5,"no data","Erbb4","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Pik3r1","Pik3r1",20,"no data","Pik3r1","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Pik3cb","Pik3cb",8,"no data","Pik3cb","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"NICHE","NICHE",22,"no data","NICHE","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Zbtb20","Zbtb20",1,"downregulated","Zbtb20","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Jazf1","Jazf1",2,"upregulated","Jazf1","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Nr1d2","Nr1d2",2,"downregulated","Nr1d2","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Sox5","Sox5",1,"downregulated","Sox5","Insr","vis_net_I","circle","Exercise2","Aorta","Adipo"
"Mef2a","Mef2a",2,"no data","Mef2a","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Nfkb1","Nfkb1",3,"no data","Nfkb1","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mitf","Mitf",3,"no data","Mitf","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Stat5b","Stat5b",1,"no data","Stat5b","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Nr3c110","Nr3c1",3,"no data","Nr3c1","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Lyn","Lyn",4,"no data","Lyn","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mapk1412","Mapk14",9,"int","Mapk14","Mapk14","vis_net_A","square","Exercise2","Aorta","Mcr"
"App","App",6,"no data","App","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"NICHE15","NICHE",14,"no data","NICHE","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Hivep2","Hivep2",1,"upregulated","Hivep2","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Zfp395","Zfp395",1,"upregulated","Zfp395","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Bnc2","Bnc2",2,"upregulated","Bnc2","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Zhx3","Zhx3",1,"upregulated","Zhx3","Mapk14","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mef2a1","Mef2a",2,"no data","Mef2a","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Nfkb11","Nfkb1",3,"no data","Nfkb1","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mitf1","Mitf",3,"no data","Mitf","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Stat5b1","Stat5b",1,"no data","Stat5b","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Nr3c11","Nr3c1",3,"no data","Nr3c1","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Lyn1","Lyn",4,"no data","Lyn","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mapk141","Mapk14",9,"no data","Mapk14","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"App1","App",6,"int","App","App","vis_net_A","square","Exercise2","Aorta","Mcr"
"NICHE1","NICHE",14,"no data","NICHE","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Hivep21","Hivep2",1,"upregulated","Hivep2","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Zfp3951","Zfp395",1,"upregulated","Zfp395","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Bnc21","Bnc2",2,"upregulated","Bnc2","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Zhx31","Zhx3",1,"upregulated","Zhx3","App","vis_net_A","circle","Exercise2","Aorta","Mcr"
"Mef2a2","Mef2a",2,"no data","Mef2a","Lrp6","vis_net_A","circle","Exercise2","Aorta","Mcr"
